id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
644130396820022600,Le Moline Apartment,16163103,Pitwo,,Santo Stefano,44.49747,11.34878,Entire home/apt,143,1,56,2024-02-03,2.59,3,93,16,
644171645427690167,LA LOCANDA BELFIORE,18084354,Ivana,,Porto - Saragozza,44.50649,11.32929,Private room,100,1,21,2023-10-31,0.99,1,342,11,
644248253172448190,Incantevole appartamento a Bologna,463091485,Luca,,Navile,44.51886,11.35266,Entire home/apt,109,2,8,2023-09-29,0.38,1,310,3,
644752352253092368,Modern apartment in Bologna's historic center,430332762,Tommaso,,Porto - Saragozza,44.49651,11.34078,Entire home/apt,88,2,17,2024-01-02,0.87,2,51,13,
644774366984541488,Petronio Loft -Historical center,31608410,Alessandra,,Santo Stefano,44.48934119878219,11.354230822090162,Entire home/apt,91,2,78,2024-03-11,4.13,1,60,51,037006-AT-02374
645303073238868967,"Ca' Selvatica, a due passi da Piazza Maggiore",463339007,Nicola,,Porto - Saragozza,44.49119,11.33393,Entire home/apt,142,3,36,2023-12-10,1.68,1,134,20,037006-AT-02316
645313047893078379,La petite grand-mère,49070892,Ilenia,,Borgo Panigale - Reno,44.51837,11.29848,Entire home/apt,65,1,257,2024-03-22,11.81,2,162,145,
645668745990583826,"""Casa Rella"", stanza “Rose” privata in centro",12427164,Julia,,Santo Stefano,44.49836,11.34911,Private room,43,1,103,2024-03-01,4.90,4,62,61,
646013662476216243,Cinque Archi,20800803,Flavia,,Borgo Panigale - Reno,44.5124152,11.2869891,Entire home/apt,,1,27,2024-03-04,1.25,3,231,21,037006-cv-00475
646039724765694291,Wood Loft Solferino,462902328,Affittibreviplus,,Santo Stefano,44.4876718,11.3428784,Entire home/apt,172,1,119,2024-03-10,5.66,13,223,60,037006-CV-00495
646191175667735879,Stanza privata in pieno centro storico,219056586,Andrea,,Santo Stefano,44.48970206756976,11.349954195320606,Private room,85,1,9,2023-07-02,0.43,1,266,3,
647738659014841690,"Del Borgo Sweet Home, in the heart of the city",463875358,Chiara,,Santo Stefano,44.49859,11.3479,Entire home/apt,116,3,49,2024-03-16,2.35,1,95,41,
647752494063184116,Home Studio Flat -2 Torri-,368700723,Antonio,,Santo Stefano,44.49529808323293,11.347231082618237,Entire home/apt,65,1,156,2024-03-18,7.45,2,21,89,037006-AT-02572
647880547052960184,"Fossalta Loft, at few steps from Piazza Maggiore",419609522,Diego,,Santo Stefano,44.49557,11.34482,Entire home/apt,122,3,24,2024-03-09,1.16,4,115,20,
647885579864408861,"Fossalta Mezzanine, few steps from Piazza Maggiore",419609522,Diego,,Santo Stefano,44.49368,11.34495,Entire home/apt,100,3,15,2023-08-06,0.72,4,0,9,
648093042875086884,Zentrales 2-Zimmer-Apartment neu,40504971,Anjuli,,Santo Stefano,44.4935586,11.3497182,Entire home/apt,140,2,2,2023-07-23,0.24,1,268,2,
648226662567084050,Matteotti  Suite,101720374,Antonella,,Navile,44.50736762959319,11.346624649737564,Entire home/apt,67,1,157,2024-03-09,7.68,4,95,94,CIR 037006-CV-00861
649154582073566269,Big penthouse in the heart of Bologna,3246049,Francesco,,Porto - Saragozza,44.49597,11.33109,Entire home/apt,247,3,59,2023-12-03,2.77,2,84,25,
649357628923458807,"Castiglione Suite, elegante e silenzioso",464290685,Patrizio,,Santo Stefano,44.4866845,11.3483687,Entire home/apt,95,3,11,2024-02-26,0.55,1,100,10,
649739438432717010,Comfortable studio in Strada Maggiore,464363049,Giancarlo,,Santo Stefano,44.49003,11.35583,Entire home/apt,159,2,0,,,1,121,0,037006-AT-02153
651141498585993885,The Blooming Loft,8765620,Patrizia,,Porto - Saragozza,44.49568,11.34084,Entire home/apt,121,2,71,2024-03-10,3.33,1,87,42,037006-AT-02300
651228999601473201,"Bilocale,camera doppia,letti a castello etc",144921698,Emilio,,Porto - Saragozza,44.49923,11.3211,Entire home/apt,,1,3,2023-06-24,0.25,11,84,3,
651941158582493032,Grazioso Appartamento nel cuore di Bologna,464844630,Katia,,Santo Stefano,44.4998984,11.3491819,Entire home/apt,107,2,29,2023-10-01,1.38,1,310,11,
653625872026751892,"Belle Arti loft, in the heart of the city",465234193,Patrizio,,Santo Stefano,44.49635,11.34762,Entire home/apt,102,3,11,2024-03-15,0.53,1,97,4,
